golden_id,n_bm25,n_dense,n_hybrid,overlap,jaccard
g000,4,4,4,1,0.14285714285714285
g001,4,4,4,0,0.0
g002,4,4,4,0,0.0
g003,4,4,4,2,0.3333333333333333
g004,4,4,4,1,0.14285714285714285
g005,4,4,4,0,0.0
g006,4,4,4,1,0.14285714285714285
g007,4,4,4,0,0.0
g008,4,4,4,0,0.0
g009,4,4,4,0,0.0
g010,4,4,4,2,0.3333333333333333
g011,4,4,4,0,0.0
g012,4,4,4,0,0.0
g013,4,4,4,0,0.0
g014,4,4,4,0,0.0
g015,4,4,4,1,0.14285714285714285
g016,4,4,4,0,0.0
g017,3,4,4,2,0.4
g018,4,4,4,0,0.0
g019,4,4,4,0,0.0
g020,4,4,4,1,0.14285714285714285
g021,4,4,4,0,0.0
g022,4,4,4,0,0.0
g023,4,4,4,0,0.0
g024,4,4,4,1,0.14285714285714285
g025,4,4,4,0,0.0
g026,4,4,4,1,0.14285714285714285
g027,4,4,4,0,0.0
g028,4,4,4,0,0.0
g029,4,4,4,3,0.6
g030,4,4,4,0,0.0
g031,4,4,4,0,0.0
g032,4,4,4,0,0.0
g033,4,4,4,1,0.14285714285714285
g034,4,4,4,0,0.0
g035,4,4,4,1,0.14285714285714285
g036,4,4,4,0,0.0
g037,4,4,4,0,0.0
g038,4,4,4,0,0.0
g039,4,4,4,1,0.14285714285714285
g040,4,4,4,0,0.0
g041,4,4,4,1,0.14285714285714285
g042,4,4,4,0,0.0
g043,4,4,4,0,0.0
g044,4,4,4,0,0.0
g045,4,4,4,0,0.0
g046,4,4,4,0,0.0
g047,4,4,4,0,0.0
g048,4,4,4,0,0.0
g049,2,3,4,0,0.0
g050,4,4,4,0,0.0
g051,4,4,4,0,0.0
g052,4,4,4,0,0.0
g053,4,4,4,0,0.0
g054,4,4,4,0,0.0
g055,4,4,4,0,0.0
g056,4,4,4,0,0.0
g057,4,4,4,1,0.14285714285714285
g058,4,2,4,1,0.2
g059,4,4,4,0,0.0
g060,4,4,4,0,0.0
g061,4,4,4,3,0.6
g062,4,4,4,0,0.0
g063,4,2,4,0,0.0
g064,4,4,4,1,0.14285714285714285
g065,4,4,4,2,0.3333333333333333
g066,4,4,4,0,0.0
g067,4,4,4,0,0.0
g068,4,4,4,1,0.14285714285714285
g069,4,4,4,0,0.0
g070,4,0,4,0,0.0
g071,4,4,4,0,0.0
g072,4,4,4,0,0.0
g073,4,4,4,0,0.0
g074,4,4,4,0,0.0
g075,4,4,4,0,0.0
g076,4,4,4,0,0.0
g077,4,4,4,0,0.0
g078,4,4,4,2,0.3333333333333333
g079,4,4,4,1,0.14285714285714285
g080,4,4,4,2,0.3333333333333333
g081,4,4,4,0,0.0
g082,4,4,4,0,0.0
g083,4,4,4,1,0.14285714285714285
g084,4,4,4,2,0.3333333333333333
g085,4,4,4,0,0.0
g086,4,4,4,0,0.0
g087,4,4,4,0,0.0
g088,0,0,0,0,0.0
g089,4,4,4,0,0.0
g090,2,2,4,0,0.0
g091,4,4,4,0,0.0
g092,4,4,4,1,0.14285714285714285
g093,4,4,4,0,0.0
g094,4,4,4,0,0.0
g095,4,4,4,1,0.14285714285714285
g096,1,3,4,0,0.0
g097,4,4,4,0,0.0
g098,4,4,4,1,0.14285714285714285
g099,4,4,4,0,0.0
g100,4,4,4,0,0.0
g101,4,4,4,0,0.0
g102,4,4,4,1,0.14285714285714285
g103,4,4,4,1,0.14285714285714285
g104,4,4,4,2,0.3333333333333333
g105,4,4,4,0,0.0
g106,4,4,4,0,0.0
g107,4,4,4,0,0.0
g108,4,4,4,0,0.0
g109,4,4,4,1,0.14285714285714285
g110,4,4,4,0,0.0
g111,4,4,4,0,0.0
g112,4,4,4,0,0.0
g113,4,4,4,0,0.0
g114,4,4,4,1,0.14285714285714285
g115,4,4,4,0,0.0
g116,4,4,4,0,0.0
g117,4,4,4,0,0.0
g118,4,4,4,0,0.0
g119,4,4,4,0,0.0
g120,4,4,4,0,0.0
g121,4,4,4,0,0.0
g122,4,4,4,0,0.0
g123,4,4,4,1,0.14285714285714285
g124,4,4,4,1,0.14285714285714285
g125,4,4,4,0,0.0
g126,4,4,4,1,0.14285714285714285
g127,4,4,4,0,0.0
g128,4,4,4,2,0.3333333333333333
g129,4,4,4,0,0.0
g130,4,4,4,1,0.14285714285714285
g131,4,4,4,0,0.0
g132,4,1,4,0,0.0
g133,4,3,4,0,0.0
g134,4,4,4,1,0.14285714285714285
g135,4,4,4,0,0.0
g136,4,4,4,1,0.14285714285714285
g137,4,4,4,0,0.0
g138,4,4,4,0,0.0
g139,4,4,4,0,0.0
g140,4,4,4,0,0.0
g141,4,4,4,0,0.0
g142,4,4,4,0,0.0
g143,4,4,4,0,0.0
g144,4,4,4,0,0.0
