confidence_floor,auto_rate,auto_ci_lo,auto_ci_hi,harmful_auto,harmful_ci_hi,unnecessary_escalation,within_budget,within_budget_ci
0.0,0.781,0.719,0.84,0.073,0.111,0.086,False,False
0.05,0.781,0.719,0.84,0.073,0.111,0.086,False,False
0.1,0.781,0.719,0.84,0.073,0.111,0.086,False,False
0.15,0.781,0.719,0.84,0.073,0.111,0.086,False,False
0.2,0.781,0.719,0.84,0.073,0.111,0.086,False,False
0.25,0.781,0.719,0.84,0.073,0.111,0.086,False,False
0.3,0.781,0.719,0.84,0.073,0.111,0.086,False,False
0.35,0.781,0.719,0.84,0.073,0.111,0.086,False,False
0.4,0.781,0.719,0.84,0.073,0.111,0.086,False,False
0.45,0.776,0.713,0.835,0.073,0.111,0.09,False,False
0.5,0.776,0.713,0.835,0.073,0.111,0.09,False,False
0.55,0.776,0.713,0.835,0.073,0.111,0.09,False,False
0.6,0.776,0.713,0.835,0.073,0.111,0.09,False,False
0.65,0.758,0.693,0.818,0.073,0.111,0.11,False,False
0.7,0.753,0.688,0.814,0.073,0.111,0.114,False,False
0.75,0.744,0.678,0.806,0.073,0.111,0.124,False,False
0.8,0.735,0.667,0.796,0.073,0.111,0.129,False,False
0.85,0.694,0.625,0.761,0.073,0.111,0.162,False,False
0.9,0.667,0.597,0.734,0.069,0.106,0.186,False,False
0.95,0.466,0.391,0.537,0.037,0.063,0.352,True,False
1.0,0.0,0.0,0.0,0.0,0.0,0.743,True,True
